id,dailyacres,discoveryacres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,wind_speed_2m_mean,wind_speed_2m_max_mean,wind_speed_10m_mean,wind_speed_10m_max_mean,humidity_mean,temp_2m_mean,rain_sum,dew_frost_point_2m,wet_bulb_temp_2m,relative_humidity,clear_sky_photosynthetically_active_radiation,all_sky_photosynthetically_active_radiation,all_sky_surface_uv_index,sum_rain,sum_snow,land_cover_class
186,2.0,2.0,13.52,20.64,2.93,0.0,3.57,5.55,5.17,7.56,0.32,0.41,2.7983333333333333,5.1433333333333335,4.145,7.166666666666667,5.066666666666666,18.173333333333336,0.64,-6.33,3.59,26.5,165.61,165.4,2.72,110.73,0.66,187
192,22.0,0.1,24.44,33.65,7.26,0.02,1.37,4.14,2.34,6.86,0.38,0.41,1.455,3.54,2.455,5.715,7.689999999999999,23.765,0.59,6.2,15.32,34.81,160.83,142.2,2.62,94.92,1.32,491
195,3.7,1.0,21.48,31.69,8.85,0.32,1.04,2.08,2.58,5.2,0.39,0.45,1.1128571428571428,1.977142857142857,2.518571428571428,4.371428571428572,7.602857142857142,20.40285714285714,0.41,9.35,15.41,50.12,128.86,65.23,1.18,110.73999999999998,2.64,182
196,2.0,0.1,25.08,33.39,2.87,0.0,1.88,4.55,2.77,6.11,0.13,0.46,1.9092307692307693,3.939230769230769,2.9546153846153844,5.316923076923077,3.051538461538461,22.66538461538461,0.0,-5.7,9.69,12.75,104.58,102.2,1.51,42.18,0.0,460
202,574.0,1.0,20.82,28.93,6.84,0.01,1.05,1.95,1.7,2.84,0.11,0.46,1.8398666666666668,2.780133333333333,2.9117333333333333,4.1892,5.390933333333333,12.749333333333334,47.11,7.25,14.04,46.31,86.99,83.77,1.02,36.92,0.0,300
203,50.0,0.1,22.91,29.39,10.01,4.45,2.32,3.75,3.42,5.09,0.27,0.35,1.7433333333333334,2.813333333333333,2.603333333333333,3.93,9.826666666666666,22.736666666666668,5.84,10.79,16.85,50.5,155.7,106.16,2.02,15.82,1.32,489
207,2800.0,10.0,34.91,42.47,6.9,0.0,4.03,8.95,5.55,11.73,0.07,0.37,3.2275,5.67,4.435,7.365,6.73,36.3025,0.02,7.76,21.33,20.12,157.12,146.59,2.81,15.82,0.0,556
211,93.0,3.0,24.0,34.1,6.35,5.2,4.59,8.27,6.45,11.88,0.24,0.42,4.44,8.435,6.2875,11.88,5.9375,15.995,24.94,3.28,13.64,31.44,165.14,147.36,2.8,100.2,1.98,187
215,2.4,0.1,22.48,30.25,3.72,0.0,2.02,4.13,2.88,5.27,0.3,0.45,2.11,4.0616666666666665,3.0583333333333336,5.456666666666667,4.006666666666667,27.19,0.02,-1.87,10.3,22.0,160.18,160.16,2.47,21.09,0.0,474
233,1.5,0.1,23.61,33.99,4.46,0.0,0.81,1.62,1.8,3.09,0.22,0.39,0.85,1.8833333333333333,1.9533333333333327,3.8866666666666663,5.21,22.276666666666667,0.0,-0.02,11.79,26.25,151.59,152.27,2.48,137.1,1.98,299
246,1.1,0.1,22.26,33.87,5.55,0.0,0.73,1.15,1.91,2.85,0.35,0.44,1.1333333333333333,1.8033333333333332,2.6466666666666665,4.033333333333333,5.593333333333334,22.64333333333333,0.0,2.56,12.41,31.44,124.88,124.8,2.09,110.73999999999998,2.64,141
248,1.2,1.2,25.31,35.08,4.09,0.0,1.86,3.17,3.23,5.43,0.3,0.39,3.3000000000000003,5.053333333333334,5.243333333333333,7.763333333333333,4.54,17.87333333333333,1.18,-2.03,11.64,18.38,122.16,106.8,1.83,52.72,0.0,158
254,11.5,1.0,27.69,35.33,5.55,0.0,2.82,4.8,4.09,6.24,0.16,0.48,2.275,4.24,3.345,5.4,4.665,26.92,0.0,2.29,14.99,21.62,118.91,91.63,1.52,73.82,0.66,491
260,1.35,0.1,20.05,27.03,6.29,1.73,1.06,1.83,2.52,5.0,0.4,0.41,1.06,1.7066666666666668,2.703333333333333,4.613333333333333,5.88,19.52,2.29,2.73,11.39,34.38,156.89,149.0,2.97,158.2,3.96,158
269,9.0,0.3,30.23,37.8,12.39,1.39,1.61,2.59,2.43,3.27,0.43,0.48,1.67,3.175,2.545,4.16,10.435,30.995,1.52,15.04,22.63,43.44,155.23,142.26,2.8,42.18,0.0,47
