X,Y,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,FireCause,FireDiscoveryDateTime,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,IrwinID,LocalIncidentIdentifier,POOCounty,POODispatchCenterID,POOFips,POOState,UniqueFireIdentifier,total_acres,fire_id
-110.454710689,33.349415187,2020-07-15 01:05:59+00:00,2020-07-17 03:06:00+00:00,1.2,0.1,Human,2020-07-14 20:06:00+00:00,WF,FI,33.36021,-110.4943,{2859D920-9AB4-4BDA-8631-B8092871BA6D},002063,Gila,AZPHC,04007,US-AZ,2020-AZSCA-002063,1.3,3576
-106.592010088,36.001275784,2020-08-17 21:59:59+00:00,2020-08-22 19:44:59+00:00,3.02,3.0,Natural,2020-08-16 18:03:00+00:00,WF,FI,36.00089,-106.5919,{A1E7D13D-ABC7-47BF-91A3-DD2152231E51},000520,Rio Arriba,NMSFC,35039,US-NM,2020-NMVCP-000520,6.02,3580
-112.409411068,33.22740507,2020-08-14 21:59:59+00:00,2020-08-14 21:59:59+00:00,20.0,15.0,Human,2020-08-12 21:06:00+00:00,WF,FI,33.21775,-112.4086,{2CC274D6-B67F-4B05-A769-DED7D5CD77DB},001670,Maricopa,AZPDC,04013,US-AZ,2020-AZA4S-001670,35.0,3584
-110.939511524,40.637386097,2020-09-15 23:51:00+00:00,2020-09-17 22:30:00+00:00,480.3,0.1,Human,2020-07-31 18:40:00+00:00,WF,FI,40.59484,-110.976,{3E2ABC60-CB9D-41A1-8392-A28550DA049A},000615,Wasatch,UTNUC,49051,US-UT,2020-UTUWF-000615,480.40000000000003,3587
-111.623510977,34.057175224,2020-07-25 22:18:59+00:00,2020-07-28 18:07:00+00:00,5.0,5.0,Natural,2020-07-23 17:00:51+00:00,WF,FI,34.05717,-111.6235,{3D84343B-C589-4E0B-8052-9AAE74FD0E3F},002217,Yavapai,AZPHC,04025,US-AZ,2020-AZTNF-002217,10.0,3594
-106.411010185,37.4626160060001,2020-07-16 21:59:59+00:00,2020-07-18 18:00:00+00:00,1.5,0.1,Natural,2020-07-15 00:51:46+00:00,WF,FI,37.47675,-106.4334,{43395C3D-6B68-4853-9AFD-0B13EF7BC64B},001331,Rio Grande,COPBC,08105,US-CO,2020-CORGF-001331,1.6,3595
-120.028013112,39.9241653080001,2020-07-31 18:03:00+00:00,2020-08-01 00:06:00+00:00,918.0,0.5,Natural,2020-07-27 02:29:59+00:00,WF,FI,39.90623,-120.0592,{2CC6120E-41E4-4BB6-817A-F99205B1ECB0},000976,Lassen,NVSFC,06035,US-CA,2020-CAPNF-000976,918.5,3606
-110.031210585,33.0920351710001,2020-07-11 17:16:59+00:00,2020-07-12 18:04:59+00:00,127.0,0.1,Natural,2020-07-10 14:13:59+00:00,WF,FI,33.03671,-109.9643,{703539D5-6CA7-431C-855B-C8321F3B6ACF},000583,Graham,AZTDC,04009,US-AZ,2020-AZGID-000583,127.1,3609
-110.454210691,33.3750251910001,2020-05-11 17:25:00+00:00,2020-05-11 17:25:00+00:00,10.5,2.0,Human,2020-05-08 00:01:59+00:00,WF,FI,33.39014,-110.4583,{12A45D04-AE75-4EDF-8D8F-55D755400EB0},000664,Gila,AZPHC,04007,US-AZ,2020-AZSCA-000664,12.5,3612
-115.467511856,35.80433522,2020-10-19 23:50:00+00:00,2020-10-20 18:19:00+00:00,160.0,1.0,Human,2020-10-18 20:57:00+00:00,WF,FI,35.9658,-115.5002,{94DC490D-C56A-4387-A169-8DF6D631833C},501719,Clark,NVLIC,32003,US-NV,2020-NVSND-501719,161.0,3615
-112.13881661,34.1405691630001,2020-08-17 02:23:59+00:00,2020-08-17 02:23:59+00:00,53.0,0.1,Human,2020-08-08 15:27:00+00:00,WF,FI,34.14767,-112.1389,{A8EAC131-ECEA-4567-9EF0-E63752FE61D6},001550,Yavapai,AZPDC,04025,US-AZ,2020-AZPHD-001550,53.1,3621
-112.040610972,32.891385042,2020-06-28 22:50:00+00:00,2020-06-30 00:59:59+00:00,7.3,5.0,Human,2020-06-28 21:24:59+00:00,WF,FI,32.8919,-112.0386,{24B05953-861F-45D2-B79B-76E503343768},001075,Pinal,AZTDC,04021,US-AZ,2020-AZA3S-001075,12.3,3624
-109.025910968,39.412316091,2020-06-30 01:41:00+00:00,2020-07-01 14:29:59+00:00,5.0,5.0,Natural,2020-06-28 02:41:00+00:00,WF,FI,39.38994,-109.0335,{B46EC6EC-3598-4467-8C26-4FF2BD8852CA},000164,Garfield,COGJC,08045,US-CO,2020-COGFX-000164,10.0,3635
-109.72941045,32.001415025,2020-06-22 02:36:59+00:00,2020-06-24 00:59:59+00:00,11.0,0.3,Human,2020-06-21 23:58:00+00:00,WF,FI,33.10177,-111.4944,{5066E18F-06D2-4D3D-9B36-B320C99A5900},000962,Cochise,AZTDC,04003,US-AZ,2020-AZA3S-000962,11.3,3637
