UniqueFireIdentifier,id,sum_rain,sum_snow
2020-CAMDF-000500,2967,221.48000000000002,2.64
2020-AZPMA-000954,2969,189.85,0.0
2021-NMSPA-000045,2976,57.999999999999986,1.9
2021-NMN6S-000062,2987,57.999999999999986,2.57
2020-NMMEA-000569,2993,79.1,0.0
2020-AZCOF-000437,2994,348.05,0.66
2020-CORTX-000020,3002,400.77000000000004,7.92
2021-NMNPA-000038,3009,137.10999999999999,6.15
2020-NMLCD-000183,3022,131.82999999999998,0.0
2020-AZSCA-001222,3031,290.03999999999996,0.0
2020-AZA4S-000289,3044,247.84,0.0
2020-AZSCA-001137,3047,290.03999999999996,0.0
2020-COMNX-001296,3055,116.0,1.32
2020-AZSCA-001219,3059,290.03999999999996,0.0
2020-NMGNF-000283,3060,116.00999999999999,1.98
2020-WYMRF-000345,3071,68.56,0.66
2021-AZCRA-000105,3080,15.82,0.0
2020-WYSWX-200159,3088,52.74,3.3000000000000003
2020-AZA3S-001870,3093,105.46999999999998,0.0
2020-AZHVR-001118,3099,89.64,0.0
2020-CASRF-000643,3102,453.51,1.32
2020-AZGID-000822,3105,105.46999999999998,0.0
2020-AZA4S-000503,3112,247.84,0.0
2020-UTCCD-000722,3115,89.64,1.32
2020-IDEIS-000173,3116,189.84000000000003,1.32
2020-UTSWS-000365,3122,68.56,1.32
2020-UTSWS-000867,3129,68.55,0.66
2020-COLSD-000332,3140,63.28,1.32
2020-NMLCD-000184,3142,131.82999999999998,0.0
2020-CAPNF-001284,3146,226.76,1.98
2020-CASHF-001437,3147,247.85000000000002,1.98
2020-NMN1S-000104,3151,158.2,6.6000000000000005
2020-UTSWS-000614,3152,89.65,0.0
2020-AZASF-000387,3153,152.93,0.66
2020-CABDU-012925,3154,137.11,0.0
2020-AZTNF-001542,3171,179.29000000000002,0.0
2020-AZTNF-002475,3175,163.48000000000002,0.0
2020-AZTNF-000411,3182,268.94,0.0
2020-AZSCA-002532,3189,137.1,0.0
2020-AZSCA-001720,3201,137.1,0.0
2020-CATCU-009457,3202,232.03,6.6
2020-NVBMD-020183,3219,58.0,1.98
2020-AZTNF-001306,3220,268.94,0.0
2021-UTSWS-000027,3227,26.36,0.04
2020-NMLNF-000408,3230,137.10999999999999,0.66
2020-UTMLF-000265,3245,79.1,0.66
2020-CORGD-000376,3249,184.57000000000002,7.92
2020-AZASD-000832,3253,79.1,0.0
2020-UTBRS-000774,3258,158.2,0.66
2020-NMGNF-000562,3260,137.1,0.0
2020-CAMDF-000513,3265,216.2,5.28
2020-AZHVR-000178,3267,158.19,0.0
2020-AZCRD-000105,3282,84.38,0.0
2020-AZA4S-000704,3283,137.1,0.0
2020-UTSCS-200455,3284,63.28,0.66
