ID,sum_rain,sum_snow
1699,232.01999999999998,1.98
1713,105.47,1.98
1720,126.55999999999999,3.3
1729,110.74,0.66
1736,42.18,0.0
1739,100.2,0.66
1740,110.74999999999999,0.66
1750,47.44999999999999,1.32
1751,21.1,0.0
1775,31.64,0.66
1777,110.73,0.66
1779,31.64,0.0
1780,84.37,1.98
1789,369.51000000000005,0.05
1792,58.0,0.66
1804,21.09,0.0
1807,31.64,0.0
1808,42.19,0.0
1815,42.18,0.0
1818,79.1,0.0
1822,42.17999999999999,0.0
1829,26.36,0.0
1831,79.10000000000001,1.32
1839,0.0,0.0
1840,26.37,0.0
1843,31.64,0.0
1850,52.72999999999999,0.66
1858,10.54,0.0
1864,10.54,0.0
1868,31.64,0.0
1871,94.92,1.32
1875,79.08999999999999,0.66
1878,126.56,2.64
1903,15.82,1.32
1912,131.84,1.32
1914,36.91,0.66
1929,21.09,0.0
1932,174.02,3.96
1933,36.91,0.0
1937,94.91999999999999,0.66
1945,42.18,0.0
1948,21.09,0.0
1952,52.730000000000004,0.66
1954,26.36,0.0
1972,89.65,0.0
1983,21.1,0.0
1986,94.92,1.32
1988,100.2,0.66
2002,79.1,1.32
2004,79.08999999999999,0.66
2008,47.45,1.32
2011,89.63999999999999,0.66
2012,36.91,0.0
2019,152.93,2.64
2020,137.09,3.3000000000000003
2021,21.08,1.98
2026,94.91999999999999,1.32
2027,94.92,1.32
2029,10.54,1.32
2032,31.64,0.0
2037,126.56,4.62
2041,21.1,0.0
2043,21.09,0.0
2044,94.92,1.32
2050,68.55,0.0
2051,110.73999999999998,2.64
2054,15.82,0.0
2065,15.82,0.0
2077,42.18,0.0
2078,26.37,0.0
2086,58.0,0.66
2092,36.92,0.0
2093,0.0,0.66
2094,131.83999999999997,1.32
2097,105.47,1.98
2106,0.0,0.0
2107,31.64,0.0
2121,47.459999999999994,0.0
2136,36.91,0.0
2142,0.0,0.0
2148,68.55,0.66
2150,68.55,0.0
2153,370.39000000000004,0.06
2154,79.1,0.66
2176,47.459999999999994,0.0
2177,142.37,4.62
2179,68.55000000000001,0.0
2188,26.37,0.0
2196,298.24999999999994,2.23
2207,10.54,0.0
2214,0.0,0.0
2227,31.64,0.0
2230,100.19,1.32
2232,5.27,1.32
2242,31.64,0.0
2243,26.37,0.0
2247,47.459999999999994,0.0
2251,126.55999999999999,3.96
2253,10.54,1.32
2258,94.92,1.32
2261,131.82999999999998,1.98
2264,31.64,0.0
2265,142.36999999999998,1.32
2266,131.84,1.32
2270,42.18,0.0
2274,137.09,3.3000000000000003
2277,142.37,4.62
2281,10.54,0.0
2282,58.0,0.0
2289,26.37,0.0
2295,0.0,1.32
2296,21.09,0.0
2298,36.91,0.0
2305,110.74000000000001,0.66
2319,58.0,0.0
2337,31.64,0.0
2338,116.0,1.32
2339,58.0,0.66
2341,94.91999999999999,0.66
2351,0.0,1.32
2367,36.91,0.66
2370,79.1,0.0
2372,79.1,0.0
2374,116.00999999999999,1.32
2381,42.18,0.0
2385,94.92,1.32
2392,31.64,0.0
2394,121.28999999999999,3.3
2398,116.00999999999999,0.66
2400,126.56,5.28
2402,42.18,0.0
2408,116.00999999999999,1.98
2421,31.64,0.66
2425,26.37,0.0
2430,31.64,0.0
2437,52.72,0.0
2439,116.0,1.32
2444,89.63999999999999,0.66
2462,126.55999999999999,3.3
2470,131.82999999999998,1.98
2475,147.65,2.64
