DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
1.0,1.1,19.96,29.58,2.32,0.0,1.15,1.91,2.02,3.24,0.22,0.4,158
0.1,0.2,18.88,31.04,2.26,0.0,1.27,2.19,2.66,3.48,0.23,0.38,159
0.1,0.2,22.87,30.66,7.14,0.92,1.18,1.9,2.0,2.66,0.32,0.38,187
3.0,96.0,27.52,35.98,8.91,4.26,1.53,2.7,2.18,3.95,0.16,0.34,484
0.1,0.2,26.03,33.86,5.68,0.28,2.05,3.91,3.05,5.13,0.22,0.43,187
0.1,30.1,23.57,32.02,6.23,0.3,1.15,2.17,2.2,4.27,0.31,0.41,159
1.0,1.5,8.89,15.7,4.09,0.16,1.76,3.84,3.02,6.01,0.46,0.47,316
0.1,2.5,23.61,33.99,4.46,0.0,0.81,1.62,1.8,3.09,0.22,0.39,299
0.1,0.2,12.65,21.43,4.64,0.13,0.48,1.14,2.83,4.19,0.34,0.37,149
0.1,0.4,21.31,30.33,3.78,0.0,0.38,0.43,3.52,4.1,0.19,0.46,55
0.1,0.2,15.55,24.56,3.36,0.0,0.72,1.19,2.83,4.27,0.27,0.47,158
0.1,0.2,13.04,21.51,2.81,0.0,1.93,4.11,2.82,5.35,0.21,0.34,187
0.1,0.2,1.43,9.01,2.2,0.0,1.98,4.09,3.56,6.02,0.3,0.31,46
0.1,0.2,9.87,18.07,2.26,0.0,1.31,2.52,1.91,3.09,0.37,0.39,470
0.1,0.2,7.33,13.47,3.66,0.0,0.92,1.28,2.17,3.02,0.69,0.66,163
1.0,1.25,6.23,14.73,1.89,0.0,2.85,5.43,4.48,7.26,0.38,0.4,474
0.1,0.2,24.45,33.05,5.92,0.0,2.64,4.51,3.95,5.9,0.44,0.48,474
20.0,40.0,24.44,33.65,7.26,0.02,1.37,4.14,2.34,6.86,0.38,0.41,163
0.1,0.2,6.73,16.31,1.65,0.0,1.63,2.96,3.02,4.27,0.21,0.37,302
0.1,0.2,22.26,33.87,5.55,0.0,0.73,1.15,1.91,2.85,0.35,0.44,141
0.1,0.2,24.19,33.08,6.53,0.16,1.67,2.96,2.59,4.7,0.16,0.37,491
0.1,0.2,25.31,35.08,4.09,0.0,1.86,3.17,3.23,5.43,0.3,0.39,158
0.1,0.2,23.96,32.14,8.24,0.13,2.04,4.23,2.76,5.39,0.33,0.43,582
0.1,0.2,28.33,36.41,4.82,0.0,1.97,3.73,2.86,4.77,0.23,0.35,470
0.1,0.2,21.65,29.69,5.68,0.06,3.85,6.74,5.7,9.5,0.26,0.39,187
0.1,1.6,18.34,26.62,3.66,0.04,3.97,7.27,6.0,10.03,0.41,0.45,187
0.1,0.2,20.66,29.11,6.53,0.99,2.62,4.17,4.55,6.6,0.27,0.34,158
0.1,0.2,27.69,35.33,5.55,0.0,2.82,4.8,4.09,6.24,0.16,0.48,491
0.1,0.2,11.63,19.94,3.78,0.0,3.49,5.2,5.45,7.37,0.3,0.37,49
0.3,1.09,17.52,25.62,2.56,0.0,1.67,3.16,2.41,3.93,0.1,0.37,470
1.0,1.25,12.44,17.62,6.41,0.56,0.69,1.09,4.71,7.67,0.28,0.47,158
1.0,1.1,23.9,32.49,6.41,0.12,3.17,5.97,4.73,7.95,0.16,0.34,488
0.1,0.2,20.05,27.03,6.29,1.73,1.06,1.83,2.52,5.0,0.4,0.41,158
0.5,1.25,20.85,28.88,6.1,0.03,1.72,2.55,3.12,3.95,0.34,0.39,187
0.1,0.2,26.29,37.48,3.66,0.0,2.72,4.04,3.85,5.42,0.13,0.38,304
0.1,0.2,22.96,32.84,8.24,1.51,1.03,1.69,2.3,3.44,0.3,0.34,158
1.0,1.25,22.15,28.05,4.88,0.0,3.7,6.23,4.96,7.95,0.19,0.39,472
0.1,0.2,20.3,29.15,5.74,0.42,0.38,0.99,2.08,3.38,0.34,0.38,187
0.1,1.2000000000000002,17.73,27.51,8.67,2.2,0.34,0.7,2.05,3.28,0.34,0.36,187
0.1,0.2,13.3,19.3,6.16,4.27,2.7,4.7,3.87,6.24,0.31,0.36,185
