ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,FireCause,FireDiscoveryDateTime,FireOutDateTime,IncidentTypeKind,InitialLatitude,InitialLongitude,POOState,id
2020/07/29 02:29:59+00,2020/07/29 18:40:00+00,9.47,3.0,Natural,2020-07-28 05:50:00+00:00,2020/08/08 18:40:00+00,FI,42.34555,-114.3906,US-ID,1052
2020/06/30 22:30:00+00,2020/07/04 00:30:00+00,0.75,0.8,Human,2020-06-30 21:59:59+00:00,2020/07/05 00:00:00+00,FI,36.73978,-106.559,US-NM,1053
2020/08/05 21:00:00+00,2020/08/06 20:00:00+00,0.1,0.1,Unknown,2020-08-05 20:06:59+00:00,2020/08/06 20:00:00+00,FI,33.76663,-114.4684,US-AZ,1054
2020/09/26 03:14:59+00,2020/09/27 03:21:59+00,10.0,1.0,Natural,2020-09-23 17:25:43+00:00,2020/10/05 22:24:00+00,FI,40.30029,-111.4576,US-UT,1055
2020/08/31 22:30:00+00,2020/09/02 20:00:00+00,0.13,0.3,Human,2020-08-31 19:15:32+00:00,2020/09/10 14:00:00+00,FI,35.05401,-111.7955,US-AZ,1056
2020/06/12 21:00:00+00,2020/06/12 21:00:00+00,0.1,0.1,Unknown,2020-06-10 22:05:00+00:00,2020/06/12 21:00:00+00,FI,41.74197,-106.7651,US-WY,1057
2020/07/13 03:49:00+00,2020/07/13 03:49:00+00,0.1,0.1,Natural,2020-07-13 02:42:59+00:00,2020/07/27 21:00:00+00,FI,39.4107,-114.70355,US-NV,1058
2020/06/04 17:00:00+00,2020/06/05 18:59:59+00,1.0,,Human,2020-06-04 14:29:00+00:00,2020/06/08 18:00:00+00,FI,,,US-AZ,1059
2020/06/18 23:55:00+00,2020/07/07 18:49:59+00,533.0,20.0,Unknown,2020-06-12 21:32:00+00:00,2020/08/28 22:09:00+00,FI,36.87487,-119.3052,US-CA,1060
2020/08/28 20:16:00+00,2020/08/29 19:38:00+00,1.0,0.1,Natural,2020-08-27 18:04:27+00:00,2020/09/06 17:44:00+00,FI,38.785833,-120.1145,US-CA,1061
2020/06/22 00:40:00+00,2020/06/22 00:40:59+00,0.1,0.1,Human,2020-06-21 22:41:59+00:00,2020/06/22 00:42:00+00,FI,39.65016,-120.4182,US-CA,1062
2020/04/20 03:30:00+00,2020/04/20 03:30:00+00,0.1,0.1,Human,2020-04-20 03:24:00+00:00,2020/04/20 21:14:59+00,FI,33.08819,-110.7152,US-AZ,1063
2020/07/27 17:23:00+00,2020/07/27 19:31:00+00,0.1,0.1,Natural,2020-07-27 13:28:16+00:00,2020/08/08 22:05:59+00,FI,39.38163,-120.4439,US-CA,1064
2021/01/04 23:13:00+00,2021/01/06 21:00:00+00,0.2,0.2,Human,2021-01-04 22:22:59+00:00,2021/01/06 21:00:00+00,FI,33.35069,-110.4604,US-AZ,1065
2020/12/14 21:03:00+00,2020/12/15 18:53:59+00,0.1,0.1,Human,2020-12-14 19:30:00+00:00,2020/12/15 18:55:00+00,FI,34.46583,-110.5038,US-AZ,1066
2021/02/07 20:00:00+00,2021/02/10 15:59:59+00,0.1,0.1,Human,2021-02-07 17:55:00+00:00,2021/02/10 15:59:59+00,FI,34.25711,-117.4583,US-CA,1067
2020/06/14 18:35:00+00,2020/06/14 18:40:00+00,0.1,0.1,Human,2020-06-14 18:16:00+00:00,2020/06/14 18:45:00+00,FI,39.65224,-106.7833,US-CO,1068
2020/07/26 23:00:00+00,2020/07/26 23:00:00+00,2.0,0.1,Human,2020-07-22 16:36:00+00:00,2020/08/04 23:45:00+00,FI,34.59035,-111.6149,US-AZ,1069
2020/08/06 03:00:00+00,2020/08/06 03:00:00+00,4.2,4.2,Human,2020-08-05 22:09:59+00:00,2020/08/08 20:00:00+00,FI,32.6888,-111.4577,US-AZ,1070
2020/05/24 03:20:00+00,2020/05/24 03:35:00+00,3.5,2.0,Human,2020-05-24 00:17:00+00:00,2020/05/25 00:59:59+00,FI,35.87959,-115.2126,US-NV,1071
2020/09/11 20:13:59+00,2020/09/14 19:30:00+00,0.1,0.1,Human,2020-09-11 19:33:00+00:00,2020/09/21 19:30:00+00,FI,42.54475,-123.3758,US-OR,1072
2020/07/28 00:59:59+00,2020/07/28 01:01:00+00,8354.0,30.0,Natural,2020-07-16 13:05:59+00:00,2020/08/02 00:59:59+00,FI,36.33078,-112.573,US-AZ,1073
2020/07/27 19:54:59+00,2020/07/27 20:00:00+00,0.1,0.1,Natural,2020-07-27 19:18:59+00:00,2020/07/28 21:59:59+00,FI,37.23413,-113.3623,US-UT,1074
2020/04/20 20:00:00+00,2020/04/20 20:00:00+00,0.1,0.1,Human,2020-04-20 19:03:12+00:00,2020/05/07 20:03:00+00,FI,,,US-NM,1075
2020/09/03 23:00:00+00,2020/09/03 23:19:59+00,0.1,1.0,Human,2020-09-03 22:57:59+00:00,2020/09/03 23:19:59+00,FI,33.8395,-116.7361,US-CA,1076
2020/09/22 22:43:00+00,2020/09/22 22:43:00+00,0.1,0.1,Human,2020-09-22 22:12:00+00:00,2020/09/22 22:43:00+00,FI,35.1391,-113.6739,US-AZ,1077
2020/07/15 01:40:00+00,2020/07/15 01:40:00+00,0.1,0.1,Unknown,2020-07-15 00:30:00+00:00,2020/07/17 19:02:00+00,FI,39.48296,-121.2172,US-CA,1078
2020/07/02 22:47:59+00,2020/07/03 00:43:59+00,0.1,0.1,Unknown,2020-07-02 22:12:00+00:00,2020/07/04 00:20:00+00,FI,37.69254,-118.9873,US-CA,1079
2020/10/11 00:00:00+00,2020/10/11 00:01:00+00,0.1,0.1,Human,2020-10-10 23:52:59+00:00,2020/10/11 00:01:59+00,FI,34.36908,-111.0045,US-AZ,1080
2020/06/05 21:30:00+00,2020/06/05 21:30:00+00,0.1,0.1,Human,2020-06-05 21:20:00+00:00,2020/06/05 21:45:00+00,FI,34.19584,-105.7247,US-NM,1081
2020/07/28 00:58:00+00,2020/07/28 01:09:00+00,0.1,0.1,Human,2020-07-27 23:23:59+00:00,2020/07/28 01:09:00+00,FI,39.470217,-120.931033,US-CA,1082
2020/04/29 20:00:00+00,2020/04/29 20:29:59+00,0.5,0.5,Human,2020-04-29 19:16:28+00:00,2020/05/01 22:50:00+00,FI,38.89458,-111.901,US-UT,1083
2020/06/24 17:45:59+00,2020/06/24 19:27:00+00,0.35,0.1,Natural,2020-06-24 03:09:59+00:00,2020/06/28 18:30:00+00,FI,40.20703,-120.5571,US-CA,1084
2020/05/29 21:00:00+00,2020/05/29 21:30:00+00,0.1,0.1,Unknown,2020-05-29 19:53:10+00:00,2020/05/29 21:30:00+00,FI,34.08205,-116.8981,US-CA,1085
