sum_rain,sum_snow,DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
94.92,1.32,2.0,8.07,20.08,30.33,3.48,0.0,3.75,6.84,5.46,9.27,0.27,0.35,186
68.55,0.0,1.0,2.8,37.12,44.5,5.55,0.0,2.11,3.56,2.99,5.34,0.05,0.34,477
121.29,2.64,3.0,13.0,22.9,32.62,3.91,0.0,4.12,6.87,6.17,9.3,0.34,0.39,183
84.37999999999998,1.98,5.3,10.6,27.76,36.1,5.74,0.3,3.54,6.56,5.3,9.34,0.16,0.35,187
242.57,0.0,125.0,345.0,25.84,33.56,7.63,0.0,1.79,3.86,2.37,5.02,0.15,0.34,303
363.86,2.64,0.1,1.4200000000000002,27.17,36.33,7.2,0.12,0.2,0.72,1.32,2.45,0.22,0.46,301
142.39,4.62,2.0,11.0,21.19,29.62,5.86,0.04,1.66,3.01,3.05,4.95,0.26,0.43,556
116.01,0.0,0.1,2320.1,31.51,38.33,10.07,0.86,1.91,3.59,2.76,4.63,0.23,0.34,46
253.13,1.98,0.1,2.1,16.16,25.18,8.3,2.96,1.48,2.73,2.45,4.23,0.48,0.54,155
158.20000000000002,0.0,0.1,111.1,33.18,41.68,6.47,0.8,2.18,4.01,3.06,5.48,0.12,0.38,472
116.02,1.32,0.1,98.1,17.25,26.41,2.14,0.0,2.21,3.8,3.36,5.09,0.26,0.34,545
237.31,0.0,0.1,13.1,30.11,39.46,7.02,0.03,2.39,5.53,3.31,7.88,0.2,0.46,460
89.64,0.0,0.1,130.1,33.34,41.51,5.92,0.04,2.77,5.74,3.98,7.38,0.18,0.43,472
52.73,0.0,1.0,276.0,6.6,14.01,4.09,11.78,2.76,6.41,5.29,10.67,0.41,0.38,489
221.48,2.64,0.1,1367.1,22.37,29.75,7.14,0.0,1.5,2.3,2.71,3.88,0.32,0.42,490
158.19,0.0,5.0,70.0,25.26,35.79,10.31,3.46,1.48,2.38,2.21,3.29,0.42,0.45,46
79.1,0.0,50.0,71.0,28.24,37.61,3.3,0.0,1.51,3.59,2.3,4.91,0.09,0.38,562
179.29000000000002,0.0,0.1,60.3,27.33,37.58,2.32,0.0,2.83,4.88,4.02,6.85,0.18,0.44,474
58.010000000000005,1.32,0.1,76.1,21.72,29.85,7.63,0.03,2.77,4.96,3.84,6.69,0.22,0.35,490
63.27,4.62,10.6,21.2,-8.03,-1.63,1.28,0.0,1.63,2.23,3.2,4.49,0.37,0.38,557
242.58,3.3000000000000003,0.1,467.1,21.9,30.53,8.48,2.39,4.41,7.99,6.39,11.48,0.42,0.45,316
79.1,2.64,8.0,104.1,17.68,25.73,4.03,0.0,1.53,2.69,2.2,3.46,0.3,0.38,557
131.84,0.0,20.0,99.5,16.79,24.46,4.27,0.0,2.97,4.73,4.24,6.33,0.29,0.34,462
242.58,3.3000000000000003,0.1,12584.1,21.9,30.53,8.48,2.39,4.41,7.99,6.39,11.48,0.42,0.45,183
110.75,0.0,0.1,228.1,30.42,36.6,11.11,3.24,1.44,3.34,2.11,4.32,0.28,0.46,460
174.03000000000003,0.0,0.1,266.1,30.55,38.33,7.26,0.0,2.59,5.16,3.83,6.98,0.27,0.48,460
89.66,1.98,0.1,180.1,26.35,34.84,4.76,0.0,2.87,5.39,4.25,7.14,0.16,0.34,158
94.92,0.66,3.0,14.0,21.59,30.91,6.23,0.04,2.92,6.6,4.2,8.95,0.23,0.43,557
168.73999999999998,2.64,0.1,600.1,26.52,34.4,3.17,0.0,1.03,1.58,2.41,3.96,0.12,0.46,39
195.12,11.22,0.1,22.9,6.34,15.97,2.2,0.01,0.56,0.95,2.69,4.73,0.41,0.43,158
63.28,1.32,0.1,20385.1,4.51,11.91,2.81,0.63,5.54,8.81,9.05,13.47,0.29,0.35,489
205.66000000000005,2.64,0.1,9.3,25.19,33.21,6.9,0.0,1.27,2.8,1.82,3.65,0.41,0.45,557
131.82999999999998,0.0,5.0,47.0,5.87,13.23,3.11,0.0,1.71,4.08,2.64,5.3,0.32,0.37,489
268.94,0.0,0.1,50.1,27.54,35.78,4.52,0.0,1.98,4.26,2.88,5.59,0.41,0.47,474
290.04,0.0,5.0,50.0,21.95,31.26,8.85,1.96,2.65,4.91,3.86,6.77,0.48,0.52,474
226.77,4.62,0.1,1.4,20.92,29.28,5.13,0.0,0.38,0.72,2.63,4.3,0.22,0.46,163
52.74,0.66,0.1,6.5,27.28,34.76,9.09,0.28,2.7,6.37,3.84,8.73,0.1,0.34,489
137.1,5.28,1.0,2.5,7.57,18.86,2.62,0.0,0.52,1.12,2.41,3.27,0.34,0.36,557
168.75,0.0,0.1,2.0,24.3,33.12,7.93,0.02,0.93,1.56,2.77,4.05,0.2,0.47,158
205.66000000000005,0.0,2.0,5.1,21.1,30.23,6.04,0.0,0.8,1.08,3.11,4.41,0.33,0.5,158
105.46,1.98,1.0,8.6,20.45,26.43,8.85,1.1,1.48,2.51,2.52,3.98,0.16,0.33,489
158.21,3.96,0.1,1.9,21.44,30.69,4.46,0.0,1.73,3.22,3.32,5.9,0.21,0.39,159
137.1,0.0,0.1,4.6,30.32,38.23,10.25,1.04,2.73,6.48,3.93,9.3,0.31,0.47,474
110.73,2.64,0.1,11.53,22.55,30.96,5.86,0.6,1.84,3.72,2.98,5.96,0.22,0.38,489
68.53999999999999,0.68,1.5,3.0,2.55,12.15,1.95,0.0,2.29,4.25,3.81,5.74,0.48,0.49,460
163.47000000000003,0.0,0.1,46.1,29.51,36.03,11.23,1.23,1.86,4.42,2.76,5.94,0.31,0.42,46
68.53999999999999,0.68,0.1,3.1,11.87,19.69,2.56,0.0,1.91,4.45,2.75,5.98,0.47,0.48,444
574.8,7.92,15.0,77.0,16.38,26.41,5.92,0.0,0.16,0.57,2.07,3.08,0.48,0.51,162
84.37,1.32,1.0,52.0,26.17,35.31,3.66,0.0,2.84,5.26,4.29,6.99,0.23,0.36,187
