,YEAR,MO,DY,T2M,T2M_MAX,QV2M,PRECTOTCORR,WS2M,WS2M_MAX,WS10M,WS10M_MAX,GWETTOP,GWETPROF,LAT,LONG,ID
0,2021,3,8,20.62,29.72,3.3,0.0,2.62,4.74,4.12,6.37,0.2,0.38,33.11758,-111.9353,5113
1,2021,3,9,18.33,25.79,3.42,0.0,3.24,7.3,4.79,10.26,0.2,0.38,33.11758,-111.9353,5113
2,2021,3,10,12.98,20.77,3.3,0.01,2.45,4.72,3.8,6.39,0.19,0.38,33.11758,-111.9353,5113
3,2021,3,11,13.23,20.98,3.66,0.07,1.9,3.45,2.85,4.58,0.19,0.38,33.11758,-111.9353,5113
4,2021,3,12,11.14,16.06,4.03,1.61,1.45,2.96,2.12,4.03,0.21,0.38,33.11758,-111.9353,5113
5,2021,3,13,10.04,14.78,4.33,5.38,2.66,4.45,3.83,5.98,0.38,0.38,33.11758,-111.9353,5113
6,2021,3,14,11.35,19.9,3.97,0.0,2.15,4.59,3.3,6.02,0.38,0.38,33.11758,-111.9353,5113
7,2021,3,15,14.52,24.05,3.78,0.2,2.56,4.65,3.9,6.86,0.36,0.38,33.11758,-111.9353,5113
8,2021,3,16,10.26,15.87,3.42,0.69,2.89,4.95,4.16,6.82,0.35,0.38,33.11758,-111.9353,5113
9,2021,3,17,13.31,22.71,3.05,0.0,1.34,2.31,2.33,3.36,0.34,0.38,33.11758,-111.9353,5113
10,2021,3,18,17.9,27.78,3.11,0.0,1.22,2.27,2.0,3.07,0.31,0.38,33.11758,-111.9353,5113
11,2021,3,19,19.9,29.07,2.56,0.0,1.16,2.56,1.72,3.42,0.3,0.38,33.11758,-111.9353,5113
12,2021,3,20,21.04,30.16,3.97,0.0,1.99,4.7,3.02,6.45,0.27,0.38,33.11758,-111.9353,5113
13,2021,3,21,17.0,25.87,2.56,0.0,2.61,5.57,4.11,7.57,0.26,0.38,33.11758,-111.9353,5113
14,2021,3,22,13.76,21.58,2.01,0.0,2.88,5.09,4.45,7.01,0.24,0.38,33.11758,-111.9353,5113
15,2021,3,23,13.62,21.23,3.54,0.37,2.83,6.18,4.31,8.45,0.23,0.38,33.11758,-111.9353,5113
16,2021,3,24,14.08,21.71,3.6,0.45,2.09,3.54,3.13,4.52,0.25,0.38,33.11758,-111.9353,5113
17,2021,3,25,14.34,22.0,2.99,0.01,4.01,7.15,5.93,10.09,0.24,0.38,33.11758,-111.9353,5113
18,2021,3,26,13.48,20.26,4.7,0.04,2.46,4.12,3.71,5.53,0.23,0.38,33.11758,-111.9353,5113
19,2021,3,27,15.92,24.65,3.6,0.0,1.61,2.98,2.53,3.8,0.23,0.38,33.11758,-111.9353,5113
20,2021,3,28,19.66,30.29,2.5,0.0,1.84,3.36,2.81,4.8,0.22,0.38,33.11758,-111.9353,5113
21,2021,3,29,20.77,30.58,2.87,0.0,2.14,3.77,3.48,5.34,0.2,0.38,33.11758,-111.9353,5113
22,2021,3,30,20.68,30.34,2.44,0.0,2.21,3.88,3.52,5.09,0.2,0.38,33.11758,-111.9353,5113
23,2021,3,31,20.55,31.75,1.65,0.0,2.34,4.27,3.72,5.82,0.19,0.38,33.11758,-111.9353,5113
24,2021,4,1,24.66,35.72,2.62,0.0,3.82,6.67,5.66,9.27,0.17,0.38,33.11758,-111.9353,5113
25,2021,4,2,24.51,33.58,2.62,0.0,1.69,3.35,2.81,4.41,0.16,0.38,33.11758,-111.9353,5113
26,2021,4,3,25.76,35.76,3.05,0.0,1.41,2.5,2.21,3.44,0.16,0.38,33.11758,-111.9353,5113
27,2021,4,4,26.06,37.36,2.38,0.0,1.48,2.59,2.58,3.74,0.15,0.38,33.11758,-111.9353,5113
28,2021,4,5,25.84,35.79,2.38,0.0,2.62,4.41,4.04,6.28,0.14,0.38,33.11758,-111.9353,5113
29,2021,4,6,24.14,32.73,3.42,0.0,3.02,4.2,4.48,5.62,0.14,0.38,33.11758,-111.9353,5113
30,2021,4,7,23.3,33.03,1.46,0.0,1.45,2.95,2.35,3.73,0.13,0.37,33.11758,-111.9353,5113
31,2021,4,8,24.54,33.52,3.36,0.0,2.79,5.02,4.33,6.85,0.13,0.37,33.11758,-111.9353,5113
32,2021,4,9,24.37,34.14,2.08,0.0,1.55,2.87,2.5,3.8,0.12,0.37,33.11758,-111.9353,5113
33,2021,4,10,24.58,35.14,1.83,0.0,2.06,3.99,3.32,5.33,0.12,0.37,33.11758,-111.9353,5113
